Study_Hours,Attendance_Percentage,Internal_Marks,Assignment_Score,Final_Marks,Result
2.85,84.3,46,11,38.86,Fail
3.6,86.45,34,12,42.46,Pass
7.71,76.42,47,17,54.41,Pass
7.21,41.36,30,10,44.11,Pass
8.35,95.86,26,1,47.69,Pass
4.35,81.17,21,13,39.01,Fail
9.89,42.05,38,0,58.07,Pass
2.45,89.13,28,14,40.93,Pass
5.63,52.02,37,17,49.76,Pass
9.61,74.75,32,17,60.67,Pass
2.16,68,42,16,37.5,Fail
1.32,65.19,20,0,35,Fail
10.6,93.38,38,13,56.49,Pass
4.12,66.24,32,19,45.86,Pass
8.21,44.52,33,15,53.12,Pass
0.3,96.8,36,3,36.39,Fail
8.28,95.23,41,5,52.83,Pass
3.79,81.07,39,15,49.95,Pass
0.67,68.07,20,19,35,Fail
7.32,45.57,24,5,46.09,Pass
2.89,87.44,49,14,47.53,Pass
4.64,44.53,39,0,35,Fail
0.97,44.12,33,6,35,Fail
1.77,72.24,46,10,41.15,Pass
3.58,49.61,45,0,35,Fail
1.08,40.46,49,7,36.99,Fail
10.93,65.39,46,13,60.35,Pass
0.07,48.23,45,4,35,Fail
5.81,49.63,37,12,37.76,Fail
1.48,44.61,32,14,35,Fail
3.69,52.31,42,8,41.44,Pass
11.11,82.93,31,7,60.13,Pass
1.94,88.54,34,18,39.95,Fail
11.59,67.15,43,16,59.67,Pass
2.47,70.39,23,18,35,Fail
8.9,41.96,28,17,55.78,Pass
6.56,44.16,22,17,52.49,Pass
10.61,55.45,48,3,47.73,Pass
6.65,72.63,41,1,40.83,Pass
6.41,84.37,30,4,35,Fail
2.35,76.3,49,16,43.78,Pass
1.99,63.53,34,6,35,Fail
11,47.1,35,15,51.59,Pass
3.93,86.85,49,0,50.77,Pass
4.46,61.83,26,11,43.16,Pass
9.12,84.16,26,18,57.84,Pass
4.07,70.78,41,8,41.44,Pass
11.42,84.32,28,15,65.86,Pass
8.86,94.44,50,6,54.91,Pass
7.17,95.26,36,14,56.21,Pass
10.57,72.11,32,11,53.62,Pass
0.6,70.69,28,3,36.82,Fail
3.08,55.94,48,5,35,Fail
5.58,96.15,28,5,41.21,Pass
2.72,67.48,39,14,35,Fail
8.93,47.66,48,2,53.63,Pass
11.03,65.96,47,1,60.62,Pass
5.09,47.62,50,4,38.78,Fail
4.11,70.15,31,7,35,Fail
11.54,73.68,40,18,64.77,Pass
5.34,60.27,38,20,46.1,Pass
5.87,44.3,42,15,47.44,Pass
4.22,96.61,34,18,57.54,Pass
10.91,86.4,37,15,67.34,Pass
6.83,90.33,27,5,48.22,Pass
9.15,62.01,44,0,49.76,Pass
9.74,85.65,25,17,70.62,Pass
4.1,69.12,44,7,43,Pass
5.2,52.07,25,4,36.84,Fail
10.18,47.47,22,11,53.46,Pass
4.36,60.7,45,17,47.95,Pass
9.53,48.25,22,4,43.3,Pass
11.29,99.9,21,12,55.96,Pass
7.48,42.95,24,20,46.83,Pass
8.9,66.47,48,11,65.34,Pass
9.66,67.13,49,15,68.64,Pass
10.14,58.04,39,13,60.89,Pass
4.74,74.28,31,10,45.94,Pass
0.62,49,25,8,35,Fail
4.82,87.03,35,9,49.25,Pass
8.09,59.95,24,15,47.06,Pass
5.4,75.48,25,18,37.45,Fail
8.99,82.94,23,9,58.68,Pass
4.28,93.34,33,20,48.88,Pass
7.62,90.15,48,3,58.84,Pass
2.24,76.5,22,20,36.06,Fail
8.99,63.3,36,7,37.12,Fail
6.55,70.19,24,10,42.14,Pass
2.45,86.12,41,5,35,Fail
3.5,92.65,40,3,44.22,Pass
8.98,46.23,40,20,56.24,Pass
5.79,63.09,47,4,51.23,Pass
2.59,86.57,25,17,40.83,Pass
11.61,65.9,39,2,50.56,Pass
8.58,59.93,49,6,56.99,Pass
11.49,64.68,47,11,56.03,Pass
5.13,76.17,23,2,35,Fail
5.7,99.99,46,16,47.93,Pass
10.78,69.58,32,2,53.14,Pass
6.3,52.51,27,10,41.66,Pass
8.49,49.77,30,5,44.32,Pass
3.03,42.54,43,10,35,Fail
5.36,73.53,47,3,51.79,Pass
1.48,72.67,38,16,43.94,Pass
2.47,52.31,42,0,35,Fail
0.01,81.72,50,11,35.98,Fail
0.47,84.47,24,2,35,Fail
11.73,55.55,24,15,56.18,Pass
2.91,60.65,47,2,35,Fail
7.96,99.43,48,13,66.08,Pass
10.07,62.46,22,16,59.24,Pass
6.61,85.65,21,18,57.12,Pass
1.84,67.16,48,6,35.76,Fail
8.74,87.6,22,10,56.68,Pass
7.2,86.14,34,15,60.72,Pass
8.78,80.07,26,18,52,Pass
9.24,91.29,22,4,42.97,Pass
11.7,96.35,34,0,62.74,Pass
6.88,74.8,30,9,43.08,Pass
4.1,54.25,35,17,38.92,Fail
7.78,63.92,32,9,51.32,Pass
0.82,85.5,21,0,35,Fail
10.77,79.05,39,12,59.35,Pass
1.43,50.67,31,3,35,Fail
3.93,43.07,40,11,35,Fail
9.79,80.98,48,15,61.53,Pass
7.17,55.06,26,18,43.63,Pass
4.72,69.98,20,11,35,Fail
5.68,84.8,33,5,35,Fail
10.25,73.76,43,15,57.86,Pass
4.08,45,29,11,41.87,Pass
10.44,51.13,22,9,49.46,Pass
1.06,53.16,49,4,35,Fail
9.32,55.47,30,18,51.14,Pass
10.17,73.92,41,11,63.34,Pass
2.18,70.24,39,7,36.22,Fail
5.16,52.19,49,3,36.52,Fail
1.99,44.05,40,6,35,Fail
8.48,50.29,45,4,42.96,Pass
6.42,99.06,47,10,52.25,Pass
7.62,68.11,34,16,55.89,Pass
2.36,92.04,25,20,44.63,Pass
2.54,90.93,37,2,41.14,Pass
0.5,70.69,32,1,35,Fail
3.86,82.4,34,18,38.86,Fail
6.72,51.57,22,1,35,Fail
10.3,81.3,34,13,61.72,Pass
8,56.34,43,0,46.16,Pass
5.22,89.92,43,15,46.94,Pass
11.44,45.02,20,14,50.04,Pass
8.63,86.39,29,17,65.83,Pass
11.16,46,43,1,57.26,Pass
6.33,92.87,46,10,61.65,Pass
3.11,58.25,37,20,37.42,Fail
0.63,79.26,45,16,49.42,Pass
8.71,69.25,45,12,54.76,Pass
1.46,61.98,48,11,46.61,Pass
3.63,78.73,27,1,35,Fail
6.39,96.85,31,20,58.04,Pass
6.77,42.48,45,17,54.97,Pass
7.21,95.13,24,9,47.79,Pass
2,76.54,20,11,35,Fail
4.56,88.44,27,16,39.97,Fail
7.41,63.03,47,13,53.93,Pass
11.64,68.31,24,18,63.65,Pass
8.73,92.13,50,12,63.39,Pass
11.07,64.89,36,2,51.25,Pass
9.15,72.08,34,7,52.66,Pass
7.1,41.21,23,4,35,Fail
2.3,49.52,32,11,37.81,Fail
8,78.5,36,0,35.78,Fail
7.48,83.02,32,20,55.83,Pass
7.23,74.96,44,15,59.72,Pass
5.88,48.6,45,11,47,Pass
6.34,66.72,21,16,41.51,Pass
4.01,61.31,43,8,46.72,Pass
6.23,69.74,23,12,38.99,Fail
2.37,92.22,44,3,47.58,Pass
9.66,86.55,21,3,46.28,Pass
2.23,45.04,31,14,35,Fail
1.02,93.42,38,9,40.8,Pass
5.23,68.31,37,5,39.57,Fail
7.9,84.63,29,2,45.72,Pass
5.25,48.4,49,14,51.24,Pass
3.32,80.24,24,5,35,Fail
6.7,54.18,30,10,45.94,Pass
4.16,66.3,20,1,35,Fail
11.19,41.01,47,1,53.46,Pass
11.07,49.1,22,0,42.06,Pass
6.03,45.52,36,10,35.75,Fail
3.93,54.38,45,4,46.84,Pass
8.85,46,34,5,46.46,Pass
0.44,81.51,33,2,35,Fail
5.7,41.74,43,19,49.82,Pass
4.04,77.06,34,4,50.09,Pass
11.05,48.44,35,19,55.31,Pass
0.14,96.71,47,8,41.75,Pass
6.63,95.99,23,18,46.4,Pass
8.89,53.53,38,4,50.27,Pass
5.82,76.87,43,11,46.58,Pass
1.02,41.68,48,11,35,Fail
11.67,95.91,44,15,70.95,Pass
6.22,71.38,27,6,47.26,Pass
7.37,42.59,25,13,35.24,Fail
2.84,60.55,35,8,43.48,Pass
5.8,44.61,49,14,39.6,Fail
5.15,63.58,50,10,50.05,Pass
0.9,80.2,22,3,35,Fail
1.27,68.19,27,10,35,Fail
10.05,63.02,48,8,58.76,Pass
2.88,47.15,24,5,35,Fail
2.34,54.7,24,16,35.56,Fail
6.06,46.01,31,8,38.35,Fail
9.22,88.45,44,5,60.43,Pass
0.74,48.11,20,5,35,Fail
6.92,75.72,26,3,41.33,Pass
1.43,60.56,43,19,47.05,Pass
0.44,53.56,30,10,35,Fail
0.63,78.37,29,2,35,Fail
10.01,67.42,22,17,49.01,Pass
1.42,64.01,27,15,35.08,Fail
0.54,75.57,20,20,35,Fail
5.25,69.48,27,15,52.19,Pass
10.13,58.21,42,11,61.42,Pass
3.15,73.54,39,13,39.17,Fail
5.06,80.17,30,8,39.57,Fail
0.48,41.6,26,6,35,Fail
5.39,67.95,45,13,49.08,Pass
6.93,43.46,49,19,53,Pass
6.85,51.18,46,19,51.98,Pass
3.99,73.63,35,9,36.52,Fail
3.79,91.97,26,10,47.36,Pass
1.28,92.97,32,6,35,Fail
4.4,44.2,29,18,35,Fail
1.19,65.15,48,18,54.68,Pass
9.2,74.98,47,20,69.97,Pass
11.6,48.82,36,10,58.25,Pass
11.64,85.93,22,5,53.77,Pass
10.38,84.65,26,7,50.32,Pass
7.21,94.2,30,0,37.77,Fail
8.41,40.51,32,7,45.94,Pass
3.42,53,24,4,35,Fail
7.57,89.63,44,9,51.9,Pass
5.47,80.23,42,1,35,Fail
5.78,93.66,38,3,48.82,Pass
9.09,43.43,34,1,47.32,Pass
3.38,75.82,20,14,40.38,Pass
3.82,74.14,24,19,40.88,Pass
11.1,42.14,49,9,48.28,Pass
0.67,70.81,50,20,38.17,Fail
5.83,76.57,32,1,45.89,Pass
10.95,51.48,29,5,42.94,Pass
7.32,56.4,48,13,57.26,Pass
6.56,78.42,24,4,35.06,Fail
3,68.1,42,1,35,Fail
4.12,91.48,49,13,60.55,Pass
10.22,60.54,20,12,59.15,Pass
6.71,56,29,1,38.19,Fail
6.18,99.09,37,8,47.49,Pass
1.19,94.67,46,2,41.94,Pass
0.19,41.74,41,14,35,Fail
11.56,86.24,27,2,59.89,Pass
4.52,46.62,39,11,50.6,Pass
7.24,41.65,22,5,39.05,Fail
0.96,56.42,38,18,35,Fail
8.2,56.16,38,16,61.35,Pass
11.19,89.16,21,5,54.31,Pass
6.91,82.64,36,18,54.17,Pass
1.51,98.9,50,16,43.36,Pass
6.98,82.69,35,15,47.15,Pass
9.2,65.1,40,20,66.53,Pass
4.88,81.94,29,7,39.91,Fail
10.56,99.97,40,18,67.76,Pass
7.78,82.61,35,7,50.67,Pass
10.79,85.7,24,19,51.07,Pass
7.48,96.3,39,14,57.03,Pass
1.58,46.82,50,7,35.14,Fail
3.72,82.29,22,2,39.12,Fail
2.42,91.05,47,15,51.65,Pass
10.91,97.26,22,2,45.79,Pass
9.12,52.66,21,0,37.13,Fail
8.12,70.24,40,7,56.27,Pass
3.61,80.83,23,8,35,Fail
2.21,54.85,41,11,45.23,Pass
9.08,76.03,37,17,58.9,Pass
5.69,55.45,21,16,43.22,Pass
2.71,60.01,43,7,35,Fail
7.4,66.49,25,19,47.6,Pass
0.48,71.75,22,10,35,Fail
3.91,66.96,40,6,47.1,Pass
5.62,69.59,22,13,44.05,Pass
1.78,57.92,46,9,35,Fail
11.82,49.54,21,14,57.31,Pass
2.51,42.84,22,11,35,Fail
1.56,51.76,36,19,42.87,Pass
2.44,74.92,33,16,41.55,Pass
9.23,87.17,26,7,51.61,Pass
5.11,50.15,41,13,39.84,Fail
6.78,46.51,40,14,54.98,Pass
0.25,84.96,25,10,35,Fail
0.41,58.31,27,11,35,Fail
5.35,97.09,38,19,45.12,Pass
9.8,82.86,38,15,65.91,Pass
10.62,59.61,31,19,59.42,Pass
1.04,57.37,24,17,35.14,Fail
6.46,71.42,24,9,35.87,Fail
10.96,44.75,33,18,67.18,Pass
4.66,47.06,46,17,44.05,Pass
9.95,50.55,36,0,52.62,Pass
1.6,86.48,35,3,35,Fail
11.22,70.83,23,6,60.73,Pass
9.02,40.63,44,0,47.73,Pass
11.3,80.41,27,7,64.74,Pass
8.12,65.42,22,16,48.16,Pass
4.36,70.65,40,7,36.13,Fail
11.26,52.85,24,4,49.56,Pass
3.31,73.11,42,0,35.38,Fail
3.99,98.75,43,14,47.37,Pass
8.41,44.41,44,3,53.3,Pass
9.18,57.04,26,6,38.74,Fail
11.15,54.58,50,13,73.42,Pass
2.46,54.91,37,11,35,Fail
9.58,62.72,43,20,55.75,Pass
8.86,89.09,27,2,49.46,Pass
0.77,94.77,30,19,40.45,Pass
4.65,52.13,48,17,48.08,Pass
3.39,72.58,33,7,35,Fail
3.65,78.21,37,1,42.83,Pass
11.8,71.31,32,5,58.69,Pass
7.71,66.04,25,6,40.35,Pass
8.61,51.52,32,6,47.64,Pass
11.72,69.29,45,12,60.99,Pass
4.53,64.07,20,0,35,Fail
9.62,87.73,30,7,63.89,Pass
5.21,85.82,26,12,49.03,Pass
10.43,48.04,29,19,52.98,Pass
2.17,45.31,21,18,35,Fail
11.37,94.49,50,16,72.69,Pass
2.63,72.13,35,12,35,Fail
3.91,91.47,24,15,46.67,Pass
9.07,43.49,35,14,54.93,Pass
4.73,71.59,49,10,47.4,Pass
7.3,72.37,42,11,51.06,Pass
5.33,91.64,45,2,45.72,Pass
8.91,45.86,35,8,55.76,Pass
2.74,54.43,46,13,39.19,Fail
0.7,64.39,50,6,35,Fail
3.6,91.95,34,10,38.48,Fail
5.69,96.33,28,9,50.22,Pass
2.02,99.56,49,2,35.98,Fail
4.26,97.55,20,18,50.08,Pass
4.8,40.36,28,1,35,Fail
0.69,42.86,30,16,35,Fail
7,48.86,24,1,38.77,Fail
10.61,60.93,25,20,56.31,Pass
1.82,89.8,49,15,48.48,Pass
7.17,93.56,27,16,49.24,Pass
7.98,51.21,34,9,52.79,Pass
5.03,77.18,46,3,46.58,Pass
8.41,95.04,35,10,66.11,Pass
4.93,67.82,49,16,55.25,Pass
6.06,46.21,37,11,42.32,Pass
0.09,67.47,31,20,35,Fail
8.3,62.55,42,9,45.25,Pass
7.94,74.66,47,15,58.21,Pass
0.46,66.32,23,3,35,Fail
4.42,41.04,44,2,43.96,Pass
11.75,99.64,41,8,63.46,Pass
5.05,72.61,35,5,45.59,Pass
6.02,68.42,42,11,48.18,Pass
10.92,97.28,30,0,63.35,Pass
8.61,49.35,41,13,45.3,Pass
6.98,51.35,46,9,55.71,Pass
9.57,88.48,43,17,62.1,Pass
10.37,55.65,41,12,62.33,Pass
5.48,87.95,26,8,49.95,Pass
5.7,56.29,43,18,48.94,Pass
4.63,41.99,34,3,35,Fail
11.6,71.02,36,2,49.29,Pass
8.37,51.8,34,5,41.03,Pass
1,85.47,29,8,35,Fail
10.36,78.47,47,9,60.73,Pass
5.77,95.42,23,8,45.99,Pass
0.83,86.98,41,16,42.35,Pass
6.6,50.85,36,9,42.04,Pass
5.01,88.01,23,5,35,Fail
10.53,78.5,41,15,60.65,Pass
2.45,80.14,42,16,45.96,Pass
9.92,89.94,48,10,67.62,Pass
6.69,74.43,41,19,48.21,Pass
0.66,67.96,30,6,35,Fail
11.66,78.2,23,3,53.21,Pass
6.15,57.88,31,9,37.14,Fail
3.49,50.96,48,20,50.3,Pass
5.63,77,42,13,54.89,Pass
10.29,54.03,29,16,52.18,Pass
3.66,44.79,33,13,35,Fail
2.31,40.03,37,19,48.76,Pass
1.55,76.5,25,12,36.55,Fail
3.57,61.73,24,1,35,Fail
9.36,85.14,21,8,46,Pass
5.66,62.51,44,2,38.46,Fail
2.73,69.16,32,3,35,Fail
1.99,64.43,42,11,35,Fail
3.99,79.03,33,14,39.1,Fail
11.28,61.37,22,19,56.93,Pass
4.12,97.83,50,7,52.37,Pass
11.86,96.17,42,17,79.9,Pass
5.82,90.88,30,4,43.78,Pass
2.15,95.22,46,1,35,Fail
10.69,66.95,41,8,56.63,Pass
5.52,72.19,42,13,55.75,Pass
8.52,84.53,23,0,49.2,Pass
11.8,81.77,32,19,72.2,Pass
0.6,93.44,48,3,41.58,Pass
1.16,82.98,45,16,52.52,Pass
8.65,99.87,48,9,62.24,Pass
3.38,60.91,27,1,35,Fail
2.21,89.98,27,5,35,Fail
0.47,81.86,42,18,42.22,Pass
0.26,81.48,32,8,35,Fail
9.29,59.55,42,18,63.7,Pass
1.61,87.14,29,18,36.37,Fail
5.61,94.02,32,8,37.9,Fail
7.27,53.11,32,2,37.24,Fail
5.14,77.53,43,5,49.99,Pass
0.33,63.53,36,5,35,Fail
9.4,99.37,25,16,60.35,Pass
0.13,68.73,21,12,35,Fail
9.14,53.7,36,12,57.71,Pass
10.72,62.91,31,6,51.71,Pass
5.19,79.23,45,8,47.06,Pass
6.43,44.57,42,17,56.4,Pass
5.72,76.22,25,0,43.62,Pass
4.67,95.87,24,19,53.79,Pass
10.65,91.02,50,12,65.84,Pass
10.73,44.06,24,7,44.26,Pass
4.03,99.6,44,20,50.06,Pass
7.38,81.92,28,8,39.29,Fail
11.12,49.74,47,0,49.4,Pass
11.54,40.74,47,8,54.32,Pass
6.11,50.28,41,19,44.31,Pass
5.43,90.29,48,10,44.73,Pass
3.34,41.3,50,19,39.43,Fail
11.51,53.99,22,3,47.22,Pass
1.71,85.44,42,15,45.09,Pass
6.96,75.17,39,13,53.84,Pass
3.39,86.96,24,19,39.91,Fail
3.35,84.77,26,20,41.75,Pass
4.86,43.04,50,17,50.64,Pass
11.99,93.55,31,8,62.17,Pass
0.66,53.62,26,0,35,Fail
6.94,73.2,50,2,44.72,Pass
0.99,78.66,29,19,45.94,Pass
1.85,50.12,27,0,35,Fail
5.27,98.57,36,2,47.27,Pass
6.13,69.29,24,13,37.81,Fail
3.11,43.46,34,13,35,Fail
3.8,96.24,47,12,46.45,Pass
1.04,75.18,28,0,35,Fail
3.64,81.95,50,14,44.01,Pass
11.6,71.51,42,19,70.16,Pass
11.34,90.08,30,6,64.76,Pass
4.02,41.99,47,15,40.61,Pass
6.85,56.1,32,19,45.06,Pass
10.92,68.18,37,20,60.67,Pass
0.07,44.6,36,0,35,Fail
9.73,82.35,43,14,67.03,Pass
11.38,63.62,28,19,65.65,Pass
1.1,56.36,29,14,35.2,Fail
1.94,40.2,24,18,35,Fail
11.53,83.19,49,5,62.97,Pass
6.45,90.03,30,5,40.22,Pass
0.17,63.7,41,0,35,Fail
3.09,73.85,34,15,45.9,Pass
5.4,53.66,21,17,37.65,Fail
8.31,77.33,46,12,67.58,Pass
8.8,40.73,40,11,46.18,Pass
11.95,69.32,47,17,71.93,Pass
3.45,78.65,39,9,52.14,Pass
6.46,95.09,43,13,60,Pass
6.4,62.88,43,19,57,Pass
4.87,85.91,33,10,43.41,Pass
2.03,75.86,24,17,39.31,Fail
11.73,95.62,46,11,65.91,Pass
10.24,63.9,43,16,67.62,Pass
5.98,59.15,25,2,35,Fail
7.24,93.23,45,20,60.84,Pass
2.73,42.95,41,0,35,Fail
6.53,48.18,48,0,41.03,Pass
8.34,44.94,34,5,41.9,Pass
6.18,90.59,48,18,48.96,Pass
11.88,40.64,23,3,46.96,Pass
7.34,91.7,29,12,48.48,Pass
4.45,67.08,47,11,40.04,Pass
9.27,40.24,46,7,48.39,Pass
2.05,64.1,38,19,43.15,Pass
4.61,51.21,28,6,35,Fail
4.16,77.46,40,20,49.22,Pass
5.18,80.76,45,6,52.39,Pass
9.38,69.25,29,6,46.88,Pass
5.81,42.43,23,13,45.2,Pass
9.53,79.37,41,17,67.71,Pass
6.92,90.52,49,18,63.1,Pass
4.1,83.22,23,19,43.21,Pass
9.72,89.8,50,18,68.6,Pass
2.86,52.03,25,17,37.6,Fail
2.69,93.33,45,5,51.72,Pass
6.05,59.33,27,15,46.33,Pass
3.13,40.8,35,2,36.59,Fail
0.11,90.6,27,20,35,Fail
7.78,96.51,47,1,50.63,Pass
6.13,79.33,35,14,49.71,Pass
5.35,53.89,25,19,49.58,Pass
11.6,55.1,36,10,48.71,Pass
6.85,68,48,18,72.41,Pass
10.36,93.87,20,17,58.18,Pass
1.67,48.98,49,10,43.01,Pass
6.83,89.56,38,2,46.83,Pass
10.42,57.48,37,3,47.19,Pass
7,88.52,36,5,56.74,Pass
8.62,95.22,36,11,55.87,Pass
4.46,65.65,47,20,48.17,Pass
1.11,61.9,31,3,35,Fail
5.49,88.13,31,11,48.92,Pass
4.73,71.77,25,3,36.06,Fail
10.4,81.07,26,1,51.24,Pass
2.93,77.37,50,11,47.43,Pass
11.6,49.17,27,12,60.54,Pass
11.5,90.69,22,15,60.44,Pass
2.97,51.75,36,3,35,Fail
4.18,95.94,40,7,48.65,Pass
10.75,55.03,27,4,36.01,Fail
11.6,84.03,47,13,71.21,Pass
5.32,57.08,46,14,56.2,Pass
3.85,59.07,49,10,47.9,Pass
6.31,58.6,30,9,35,Fail
8.25,84.87,39,9,61.57,Pass
3.28,73.41,37,5,35,Fail
8.84,92.98,35,15,60.04,Pass
0.62,58.44,44,20,46.37,Pass
0.59,81.52,47,3,35,Fail
4.64,85.18,32,8,42.67,Pass
4.24,49.09,28,9,35,Fail
3.79,64.04,38,4,35.75,Fail
5.89,68.97,26,9,35.04,Fail
3.85,61.34,48,15,49.44,Pass
2.31,59.33,36,10,35,Fail
3.71,81.19,27,5,35,Fail
11.7,52.95,27,6,48.76,Pass
4.93,82.56,48,11,46.93,Pass
5.34,96.1,22,12,49.27,Pass
6.92,73.91,35,16,46.62,Pass
11.8,76.69,31,8,55.49,Pass
2.9,44.14,34,7,35,Fail
8.18,91.87,40,15,62.44,Pass
8.59,57.13,23,20,42.21,Pass
7.29,76.9,42,2,46.87,Pass
1.06,98.75,46,4,42.05,Pass
8.12,75.73,26,20,62.38,Pass
0.77,83.48,30,12,35,Fail
7.15,66.72,43,17,48.28,Pass
8.87,43.62,24,20,50.25,Pass
2.53,87.86,32,15,38.9,Fail
10.1,42.1,30,13,53.07,Pass
0.36,82.04,24,10,38.01,Fail
10.13,41.38,27,17,46.67,Pass
5.52,91.74,40,7,53.25,Pass
2.61,49.46,48,11,44.26,Pass
1.61,70.86,49,18,48.33,Pass
11.44,75.83,48,19,71.88,Pass
0.87,67.45,36,1,37.67,Fail
2.39,60.45,30,8,38.29,Fail
4.17,68.07,38,8,37.72,Fail
7.44,58.68,37,13,50.25,Pass
6.54,66.29,47,14,48.07,Pass
1.51,61.53,29,10,37.54,Fail
3.48,73.97,24,12,36.83,Fail
2.87,54.28,48,4,35,Fail
2.56,99.32,43,5,35,Fail
4.93,70.05,50,4,42.44,Pass
8.45,51.65,44,0,42.26,Pass
2.61,68.62,44,17,42.4,Pass
4.4,91.98,20,7,35.96,Fail
4.69,41.31,36,16,48.4,Pass
11.72,80.77,36,10,68.94,Pass
11.46,72.88,20,10,64.75,Pass
9.6,50.17,44,2,58.87,Pass
2.9,89.05,20,7,35.96,Fail
0.82,62.13,42,7,35,Fail
3.8,57.63,41,20,50.55,Pass
3.2,89.69,28,20,36.76,Fail
6.07,78.31,46,2,48.18,Pass
9.33,93.9,44,9,52.97,Pass
10.3,77.79,23,18,67.13,Pass
10.14,84.45,28,13,58.94,Pass
4.32,90.19,33,17,46.7,Pass
8.25,43.28,34,2,39.66,Fail
3.75,86.56,35,19,47.58,Pass
0.73,76.82,35,13,35,Fail
8.42,44.17,32,10,44.83,Pass
0.12,70.51,33,9,35,Fail
4.91,44.95,41,13,38.61,Fail
3.95,84.16,40,0,35,Fail
8.32,72.79,28,15,54.52,Pass
9.19,97.21,50,5,60.72,Pass
3.65,50.99,42,17,48.11,Pass
9.74,76.36,28,15,53.9,Pass
3.53,52.69,40,18,44.09,Pass
5.36,76.84,23,15,35,Fail
8.72,83.36,29,4,52.86,Pass
8.32,83.34,22,11,55.03,Pass
11.85,88.9,40,5,65.21,Pass
2.7,91.21,28,1,35,Fail
7.95,44.64,38,15,53.54,Pass
7.32,60.6,35,20,54.27,Pass
10.98,81.23,35,10,49.83,Pass
1.88,69.92,36,11,42.39,Pass
9.02,51.44,37,10,45.73,Pass
6.82,73.16,29,19,53.9,Pass
3.3,64.45,40,18,44.86,Pass
5.69,63.4,38,7,49.87,Pass
4.01,88.59,41,17,45.6,Pass
6.95,64.46,34,4,40.52,Pass
10.67,41.59,34,11,56.56,Pass
6.83,43.48,30,9,38.01,Fail
7.58,91.37,27,14,58.97,Pass
6.22,97.64,41,4,45.21,Pass
0.61,81.3,35,16,40.26,Pass
2.79,61.86,29,3,35,Fail
5.9,96.32,28,11,43.71,Pass
3.72,79.77,34,17,51.65,Pass
2.18,90.66,41,7,35,Fail
6.05,85.95,49,19,61.67,Pass
3.87,62.75,24,16,35,Fail
3.1,68.72,39,7,39.47,Fail
5.57,51.17,21,12,43.31,Pass
1.6,57.52,41,2,35,Fail
11.13,86.69,35,2,57.09,Pass
10.41,93.64,37,6,67,Pass
8.49,83.47,35,17,63.23,Pass
1.27,67.91,24,20,35,Fail
9.31,45.19,20,6,38.93,Fail
9.7,43.42,38,1,45.13,Pass
9.21,62.46,29,6,49.16,Pass
1.37,67.83,40,1,35,Fail
7.73,76.55,48,6,50.99,Pass
10.01,40.39,32,13,48.74,Pass
6.93,99.38,42,14,50.24,Pass
7.76,61.84,43,15,49.83,Pass
5.5,90.89,42,7,52.59,Pass
6.34,72.1,42,15,47.22,Pass
0.41,47.83,30,20,35,Fail
7.67,87.85,34,6,42.26,Pass
0.98,82.59,21,10,35,Fail
5.22,71.65,25,3,40.4,Pass
3.51,70.87,40,17,51.42,Pass
6.55,45.25,30,12,40.42,Pass
1.6,79.35,34,16,38.78,Fail
8.3,94.67,28,11,52.89,Pass
9.54,45.59,31,17,51.2,Pass
1.96,55.81,45,9,38.32,Fail
1.25,94.14,46,6,44.9,Pass
1.75,57.06,23,11,35,Fail
10.53,79.24,47,11,62.77,Pass
6.34,72.09,42,12,47.99,Pass
5.61,75.78,46,0,38.03,Fail
1.28,64.95,43,6,35,Fail
7.79,58,33,15,53.1,Pass
10.42,42.91,41,15,57.88,Pass
9.94,84.66,22,20,58.39,Pass
7.51,84.77,46,15,71.12,Pass
0.9,80.24,40,15,47.22,Pass
1.35,78.62,36,13,37.58,Fail
0.59,54.62,49,10,36.31,Fail
3.09,41.34,32,18,35,Fail
1.63,88.52,27,10,37.38,Fail
3.12,69.47,31,1,35,Fail
4.62,58.41,31,6,35,Fail
11.32,46.12,31,8,53.67,Pass
7.32,43.76,46,8,53.28,Pass
10.02,60.93,21,13,60.73,Pass
8.52,88.28,48,9,51.58,Pass
1.35,95.12,29,15,35,Fail
8.83,93.81,42,17,62.65,Pass
3.3,95.2,28,0,35,Fail
7.67,94.46,20,1,50.35,Pass
4.09,71.63,48,19,57.71,Pass
11.97,53.16,23,3,38.53,Fail
3.16,87.88,42,1,36.37,Fail
3.35,52.82,33,3,35,Fail
11.17,56.03,35,5,46.8,Pass
0.3,54,44,3,35,Fail
8.36,70.9,37,17,57.24,Pass
8.7,59.31,21,4,49.75,Pass
10.04,49.25,25,10,41.45,Pass
11.69,67.19,22,12,55.18,Pass
11.71,92.43,39,2,57.24,Pass
0.78,74.23,38,18,46.95,Pass
9.86,92.7,32,19,58.27,Pass
7.76,51.75,36,10,48.64,Pass
7.77,50.02,33,10,39.17,Fail
1.54,74.53,49,20,53.87,Pass
7.8,67.8,41,1,55.86,Pass
11.79,79.61,30,14,58.33,Pass
10.94,87.68,35,7,54.62,Pass
5.27,85.08,30,1,39.86,Fail
0.48,96.54,48,7,35,Fail
4.35,63.9,37,19,52.39,Pass
9.92,52.38,21,14,51.74,Pass
8.42,73.05,42,15,64.14,Pass
5.51,46.64,40,12,38.57,Fail
0.66,57.33,27,16,35,Fail
